IMIĘ PIERWSZE,PŁEĆ,LICZBA WYSTĄPIENIEŃ
WALERIA,KOBIETA,43
DARYNA,KOBIETA,43
LETYCJA,KOBIETA,42
YANA,KOBIETA,42
NASTIA,KOBIETA,41
MAGDA,KOBIETA,40
ULIANA,KOBIETA,40
CARMEN,KOBIETA,40
SYLWIA,KOBIETA,39
LILLY,KOBIETA,39
OLIMPIA,KOBIETA,39
LILI,KOBIETA,38
TAMARA,KOBIETA,38
ANHELINA,KOBIETA,38
SOFIJA,KOBIETA,37
ELINA,KOBIETA,36
NIKA,KOBIETA,35
OLIVIIA,KOBIETA,34
LARYSA,KOBIETA,34
NADZIEJA,KOBIETA,33
KSENIA,KOBIETA,33
ALEXANDRA,KOBIETA,33
STEFANIIA,KOBIETA,33
NELIA,KOBIETA,33
HALINA,KOBIETA,32
MIROSLAVA,KOBIETA,31
VALERIA,KOBIETA,31
MELISSA,KOBIETA,31
DANIELA,KOBIETA,30
MARCJANNA,KOBIETA,30
GAIA,KOBIETA,30
VLADYSLAVA,KOBIETA,30
MICHELLE,KOBIETA,30
EDYTA,KOBIETA,29
ALICE,KOBIETA,29
MARGARITA,KOBIETA,29
LILLA,KOBIETA,29
BEATA,KOBIETA,29
HANA,KOBIETA,28
LAILA,KOBIETA,28
MARCELA,KOBIETA,27
SOLOMIA,KOBIETA,27
ANGELIKA,KOBIETA,27
BIANCA,KOBIETA,27
ELIZAVETA,KOBIETA,26
SOLOMIYA,KOBIETA,26
DOBRAWA,KOBIETA,26
ERIKA,KOBIETA,25
LEONIA,KOBIETA,25
ILONA,KOBIETA,25
ELIZABETH,KOBIETA,25
TATIANA,KOBIETA,24
ZOYA,KOBIETA,24
LIA,KOBIETA,24
SOFIYA,KOBIETA,24
SELENA,KOBIETA,24
ELEONORA,KOBIETA,23
ARIA,KOBIETA,23
MIYA,KOBIETA,23
GABRIELLA,KOBIETA,23
INA,KOBIETA,23
MIJA,KOBIETA,23
MARHARYTA,KOBIETA,22
WANESSA,KOBIETA,22
LEILA,KOBIETA,22
STANISŁAWA,KOBIETA,22
SAMANTA,KOBIETA,22
ANIKA,KOBIETA,21
HIACYNTA,KOBIETA,21
WIOLETTA,KOBIETA,21
LEOKADIA,KOBIETA,21
MELANIIA,KOBIETA,21
NELLY,KOBIETA,21
MARYLA,KOBIETA,21
FLORA,KOBIETA,20
ARIANNA,KOBIETA,20
CHARLOTTE,KOBIETA,20
SOLOMIJA,KOBIETA,20
HANNAH,KOBIETA,20
VERA,KOBIETA,20
BOGUMIŁA,KOBIETA,20
OLHA,KOBIETA,20
ANDŻELIKA,KOBIETA,20
AMELIIA,KOBIETA,20
YAROSLAVA,KOBIETA,20
REGINA,KOBIETA,20
VIOLETTA,KOBIETA,19
IVANNA,KOBIETA,19
MIROSŁAWA,KOBIETA,19
LIANA,KOBIETA,19
BOŻENA,KOBIETA,19
KSENIIA,KOBIETA,19
ABIGAIL,KOBIETA,18
ELLA,KOBIETA,18
VIRA,KOBIETA,18
NELL,KOBIETA,18
ULYANA,KOBIETA,18
VIVIENNE,KOBIETA,17
ADEL,KOBIETA,17
GRETA,KOBIETA,17
JASMINA,KOBIETA,17
IRYNA,KOBIETA,17
ELIANA,KOBIETA,17
JESSICA,KOBIETA,17
MARINA,KOBIETA,17
ISABELLA,KOBIETA,16
DARINA,KOBIETA,16
BOGDANA,KOBIETA,16
KHRYSTYNA,KOBIETA,16
JOLANTA,KOBIETA,16
EMILI,KOBIETA,16
ORIANA,KOBIETA,16
KAMILLA,KOBIETA,16
DARIIA,KOBIETA,16
NELLA,KOBIETA,16
IRMINA,KOBIETA,15
NADIIA,KOBIETA,15
VERONICA,KOBIETA,15
OLENA,KOBIETA,15
MIRELLA,KOBIETA,15
MARIANA,KOBIETA,15
RENATA,KOBIETA,14
MARIAM,KOBIETA,14
ZOSIA,KOBIETA,14
CLARA,KOBIETA,14
OFELIA,KOBIETA,14
OKSANA,KOBIETA,14
YUSTYNA,KOBIETA,14
KAYA,KOBIETA,14
HALSZKA,KOBIETA,14
PAMELA,KOBIETA,13
LAYLA,KOBIETA,13
ZORIANA,KOBIETA,13
IZA,KOBIETA,13
ARIADNA,KOBIETA,13
DAGNA,KOBIETA,13
SARAH,KOBIETA,13
VASILISA,KOBIETA,13
LEIA,KOBIETA,13
LUDMIŁA,KOBIETA,13
LINA,KOBIETA,13
YULIIA,KOBIETA,13
MARZENA,KOBIETA,12
MARGARYTA,KOBIETA,12
AISHA,KOBIETA,12
LIZA,KOBIETA,12
DOBROMIŁA,KOBIETA,12
ZUZA,KOBIETA,12
BOHDANA,KOBIETA,12
IWONA,KOBIETA,12
LEYLA,KOBIETA,12
VIVIEN,KOBIETA,12
KATERINA,KOBIETA,12
MAIIA,KOBIETA,11
NASTAZJA,KOBIETA,11
DAYANA,KOBIETA,11
MARITA,KOBIETA,11
ALICIA,KOBIETA,11
SAMIRA,KOBIETA,11
ELWIRA,KOBIETA,11
FLORIANNA,KOBIETA,11
YEVHENIIA,KOBIETA,11
LUKRECJA,KOBIETA,11
EUGENIA,KOBIETA,11
TINA,KOBIETA,10
AYLA,KOBIETA,10
BOGNA,KOBIETA,10
YASMINA,KOBIETA,10
ASTRID,KOBIETA,10
KSENIYA,KOBIETA,10
MIŁOSŁAWA,KOBIETA,10
VALENTINA,KOBIETA,10
AMIRA,KOBIETA,10
ANATOLIA,KOBIETA,10
ANATOLA,KOBIETA,10
NICOL,KOBIETA,10
TEONA,KOBIETA,10
DAIANA,KOBIETA,10
HANIA,KOBIETA,10
YEVANHELINA,KOBIETA,10
KAMELIA,KOBIETA,10
MISHEL,KOBIETA,10
KIARA,KOBIETA,9
DOBROSŁAWA,KOBIETA,9
BELLA,KOBIETA,9
CHLOE,KOBIETA,9
AFINA,KOBIETA,9
MIROSLAWA,KOBIETA,9
MILANIA,KOBIETA,9
DANA,KOBIETA,9
AVRORA,KOBIETA,9
FLORENCJA,KOBIETA,9
ZLATOSLAVA,KOBIETA,9
SABRINA,KOBIETA,9
DAJANA,KOBIETA,9
YARYNA,KOBIETA,9
CATALEYA,KOBIETA,9
MARIYA,KOBIETA,9
TETIANA,KOBIETA,9
WARWARA,KOBIETA,9
BERNADETTA,KOBIETA,9
ALISIIA,KOBIETA,9
SNIZHANA,KOBIETA,9
ARYNA,KOBIETA,9
NATALIIA,KOBIETA,9
ALIA,KOBIETA,9
LIYA,KOBIETA,9
IVANKA,KOBIETA,9
ELIZABET,KOBIETA,9
MAJKA,KOBIETA,9
ALENA,KOBIETA,9
NOELIA,KOBIETA,9
DEBORA,KOBIETA,8
BERENIKA,KOBIETA,8
YESENIIA,KOBIETA,8
AMALIA,KOBIETA,8
CHIARA,KOBIETA,8
GRACJA,KOBIETA,8
JULIANA,KOBIETA,8
MELANIE,KOBIETA,8
LEONA,KOBIETA,8
ANA,KOBIETA,8
MATILDA,KOBIETA,8
HELEN,KOBIETA,8
YELIZAVETA,KOBIETA,8
OLESIA,KOBIETA,8
MALIKA,KOBIETA,8
ADELE,KOBIETA,8
JENNIFER,KOBIETA,8
KRISTINA,KOBIETA,8
VALERIYA,KOBIETA,8
KORA,KOBIETA,8
RACHELA,KOBIETA,8
BRYGIDA,KOBIETA,7
ANABELLA,KOBIETA,7
ANASTASIYA,KOBIETA,7
MARYAM,KOBIETA,7
ESTER,KOBIETA,7
JANKA,KOBIETA,7
MIRELA,KOBIETA,7
NATALIE,KOBIETA,7
ROSA,KOBIETA,7
MARIOLA,KOBIETA,7
FREYA,KOBIETA,7
ALANA,KOBIETA,7
ULA,KOBIETA,7
GRAŻYNA,KOBIETA,7
MATHILDA,KOBIETA,7
STEFANIYA,KOBIETA,7
MAIA,KOBIETA,7
ROZA,KOBIETA,7
AYA,KOBIETA,7
DANIELLA,KOBIETA,7
KARLA,KOBIETA,7
MARYSIA,KOBIETA,7
CORNELIA,KOBIETA,7
VLADISLAVA,KOBIETA,7
LINDA,KOBIETA,7
ELVIRA,KOBIETA,7
BLANCA,KOBIETA,7
LEONIE,KOBIETA,7
ZARA,KOBIETA,7
LIJA,KOBIETA,7
LUDWIKA,KOBIETA,7
AMALIIA,KOBIETA,7
LISA,KOBIETA,7
ZOEY,KOBIETA,7
LILLI,KOBIETA,7
PIA,KOBIETA,7
SOFIE,KOBIETA,7
FRANCESCA,KOBIETA,7
TAISIIA,KOBIETA,6
FATIMA,KOBIETA,6
BALBINA,KOBIETA,6
NIKOLETTA,KOBIETA,6
TOSIA,KOBIETA,6
ILARIIA,KOBIETA,6
ROSE,KOBIETA,6
SCARLETT,KOBIETA,6
ELLIE,KOBIETA,6
ERYKA,KOBIETA,6
DAISY,KOBIETA,6
MIKA,KOBIETA,6
ARLETA,KOBIETA,6
EVANGELINA,KOBIETA,6
VALENTYNA,KOBIETA,6
DARYA,KOBIETA,6
ILARIA,KOBIETA,6
LILLIANA,KOBIETA,6
ELA,KOBIETA,6
LARISSA,KOBIETA,6
CELIA,KOBIETA,6
LILIIA,KOBIETA,6
TULIA,KOBIETA,6
ELISA,KOBIETA,6
NAWOJKA,KOBIETA,6
REBEKA,KOBIETA,6
FLAWIA,KOBIETA,6
CARLA,KOBIETA,6
SOFI,KOBIETA,6
MIŁKA,KOBIETA,6
MELODY,KOBIETA,6
SVITLANA,KOBIETA,6
EMI,KOBIETA,6
LILE,KOBIETA,6
KATIA,KOBIETA,6
LUISA,KOBIETA,6
MARIE,KOBIETA,6
LUCY,KOBIETA,6
AHATA,KOBIETA,5
KATALEYA,KOBIETA,5
TEIA,KOBIETA,5
ESENIIA,KOBIETA,5
NELI,KOBIETA,5
ISABEL,KOBIETA,5
LETTY,KOBIETA,5
LATOYA,KOBIETA,5
MELODIA,KOBIETA,5
VLADA,KOBIETA,5
MERCEDES,KOBIETA,5
LETICIA,KOBIETA,5
WIWIANA,KOBIETA,5
ANAYA,KOBIETA,5
CYNTIA,KOBIETA,5
ADELIIA,KOBIETA,5
SUSANNA,KOBIETA,5
ELEANOR,KOBIETA,5
WŁADYSŁAWA,KOBIETA,5
AGNES,KOBIETA,5
KARMEN,KOBIETA,5
SIENNA,KOBIETA,5
FREJA,KOBIETA,5
VIKTORIYA,KOBIETA,5
ANASTASIJA,KOBIETA,5
ROKSOLANA,KOBIETA,5
ALBINA,KOBIETA,5
NIKOLE,KOBIETA,5
RONJA,KOBIETA,5
AYANA,KOBIETA,5
JESENIA,KOBIETA,5
ALDONA,KOBIETA,5
CHRYSTYNA,KOBIETA,5
EMANUELA,KOBIETA,5
SAWA,KOBIETA,5
MAURA,KOBIETA,5
ARIELA,KOBIETA,5
EUNIKA,KOBIETA,5
ALMA,KOBIETA,5
JASMIN,KOBIETA,5
LUCIA,KOBIETA,5
IRIS,KOBIETA,5
LÉA,KOBIETA,5
FELICYTA,KOBIETA,5
MARIJA,KOBIETA,5
ANDRIANA,KOBIETA,5
JARYNA,KOBIETA,5
